latitude,longitude,mag
40.4846667,-123.39,3.76
34.3155,-116.8506667,3.22
40.2851667,-124.5095,3.82
36.6588333,-121.2858333,3.04
36.659,-121.2841667,3.14
36.6815,-121.3125,3.3
37.3965,-121.7468333,3.9
37.1105,-121.5176667,3.08
36.001,-118.3933333,3.05
37.1125,-121.5183333,3.27
39.0412,-118.8098,3
36.5635,-121.151,3.28
40.4218333,-124.592,3.87
37.6169,-114.5263,3
39.6076667,-123.6458333,4.26
40.1033333,-122.058,3.18
33.4986667,-116.8006667,3.48
33.1431667,-116.475,3.03
37.5501667,-118.8065,3.52
37.5498333,-118.8073333,3.47
37.5473333,-118.8103333,3.78
37.5513333,-118.8155,3.66
34.0951667,-118.671,3.13
36.618,-121.2243333,3.21
33.147,-116.4781667,3.53
33.1501667,-116.4795,3.57
33.15,-116.4816667,3
33.1478333,-116.4791667,3.96
36.6758333,-121.2996667,3.31
34.8451667,-118.9038333,3.11
39.8026667,-123.4755,3.03
36.6203333,-121.2265,3.04
40.298,-124.5276667,3.01
38.1015015,-121.6604996,3.11
36.6271667,-121.2378333,3.76
36.629,-121.2361667,3.16
36.6305,-121.2443333,4.58
33.9313333,-118.302,3.12
33.462,-116.4666667,3.52
33.4638333,-116.4701667,3.1
38.5616667,-119.5821667,3.11
37.4813333,-118.4873333,3.3
37.9615,-118.1251,3.3
37.6021667,-118.8208333,3.05
36.5821667,-121.1751667,3.12
33.4618333,-118.1836667,3.71
34.4213333,-120.6785,4.33
37.1203333,-121.5235,3.43
33.1591667,-118.7178333,3.9
34.42,-120.0025,3.06
36.4728333,-121.0506667,3.49
37.9793333,-118.666,3.04
33.1355,-116.6601667,3.44
33.1341667,-116.6556667,3.07
39.2846667,-123.2341667,3.94
38.8297,-116.7128,3.3
41.982,-118.5809,3.5
32.9555,-115.5373333,3.12
37.3135,-121.672,4.09
41.8912,-119.6568,3.5
37.4536667,-118.829,3.02
37.5055,-118.8355,3.34
38.3653,-118.8949,3.4
40.4953333,-124.4173333,3.91
32.383,-115.3971667,3
40.8913333,-121.9836667,3.65
36.8291667,-121.5468333,3.18
36.0193333,-117.7698333,3.65
36.019,-117.7673333,3.19
34.0866667,-118.4756667,3.61
33.1696667,-115.6161667,3.37
33.9745,-116.9263333,3.03
35.0328333,-119.3031667,3.23
37.414,-121.8056667,3.28
37.4116667,-121.8135,3.28
32.8438333,-115.6158333,3.47
33.9753333,-116.276,3.26
40.7651,-115.9973,3.4
40.4382,-116.4597,3
40.8043,-115.9689,3.4
38.621,-122.7033333,3.52
36.5457,-113.8755,3.4
34.506,-118.6421667,3.43
38.7975,-122.7795,3.5
35.9043333,-116.9223333,4.07
33.9578333,-116.6705,3.2
38.062,-118.9238333,3.01
33.9933333,-116.8011667,3.14
34.286,-117.0581667,3.21
37.462,-118.8211667,3.39
37.4643333,-118.8211667,3.45
40.1131667,-123.079,3.02
36.2983333,-120.3228333,3.39
38.0601667,-118.9173333,3.95
32.81,-115.4603333,3.23
34.2396667,-116.8856667,3.49
35.7306667,-121.082,3.03
40.3998333,-120.004,3.56
37.5696667,-118.8886667,3.26
35.6225,-118.1495,3.47
38.584,-122.4186667,3.27
33.1646667,-115.6463333,3.6
33.1666667,-115.6446667,3.32
37.4638333,-118.8243333,3.03
32.8936667,-116.2683333,3
37.5435,-118.8153333,3.13
32.4206667,-115.2716667,3.28
36.9376667,-121.6825,3.07
36.7304,-115.9092,4.1
34.9698333,-117.4271667,3.43
34.4145,-117.6791667,3.03
37.5058333,-118.999,3.16
40.62,-123.2913333,3.74
37.5083333,-118.9543333,3.88
34.8498333,-118.9638333,3.19
32.3456667,-115.2015,3.03
37.5135,-118.9595,3.53
39.47,-120.3378333,3.15
39.4696667,-120.3343333,3.95
39.4675,-120.3388333,3.73
34.0013333,-116.9025,3.53
40.2878333,-124.2988333,4.03
37.9085,-122.2923333,3.02
33.6761667,-116.7606667,3.18
37.4463,-114.3213,3.3
32.972,-115.8851667,3.32
40.437,-124.4685,3.14
37.3928,-114.2875,3.2
41.0418333,-124.1116667,3.53
38.792,-119.6331,3.5
34.4185,-120.7436667,3.38
36.0043333,-117.8743333,3.25
34.4225,-120.7325,3.03
33.8818333,-116.7988333,3.37
33.8763333,-116.8093333,3.23
38.7832,-119.6348,3.7
38.8225,-122.8115,3.33
35.3975,-117.7128333,3.64
33.869,-119.3798333,3
32.9786667,-115.905,3.2
34.8638333,-118.9643333,3.45
33.5825,-116.6376667,3.15
38.9013333,-123.0018333,3.26
36.1813333,-117.8455,3.71
36.1811667,-117.846,3.41
34.0308333,-118.9881667,3.34
36.7045,-121.339,3.46
34.4323333,-119.9998333,3.03
34.4191667,-120.0021667,4.06
34.2271667,-116.743,3.58
39.9825,-119.9273,3.1
37.4536,-114.4725,3.1
34.3136667,-119.7423333,3.22
38.4124,-118.9169,3.3
38.4105,-118.9153,3.4
38.4111,-118.9181,3.5
33.4838333,-116.801,3.37
34.0263333,-118.5193333,3.06
38.7883333,-122.7771667,3.98
37.8251667,-121.806,3.78
32.4128333,-115.232,3.69
41.8908,-119.6398,3.3
35.5678333,-118.3311667,3.13
34.4235,-119.6438333,3.12
34.4061667,-119.6456667,3.44
33.3735,-116.2848333,3.01
36.1233333,-120.07,3.09
34.2478333,-116.8361667,3.1
38.774,-122.7223333,3.73
36.9701667,-121.459,3.18
34.0396667,-117.2405,3.11
33.0375,-116.4466667,3.18
36.4725,-120.9975,3.52
32.3978333,-115.2601667,3.26
41.8708,-119.635,3.5
34.0953333,-116.4025,3
40.312,-124.4255,3.07
32.5035,-116.9701667,3.45
36.8638333,-121.5948333,3.17
36.8776667,-121.6141667,4
39.1909,-115.9461,3
36.1658333,-118.723,3.56
33.2191667,-116.0825,3.54
36.5555,-121.1545,3.06
36.8785,-121.3388333,3.02
34.0401667,-117.2375,3.49
33.1608333,-115.6328333,3.09
41.846,-119.6349,3.4
40.6106667,-121.8425,3.07
36.0993333,-120.2145,3.31
33.239,-116.0535,3.61
34.0388333,-117.2386667,3.61
35.8795,-120.0611667,3.52
39.2873,-115.017,3.1
39.2715,-115.0177,3.1
36.6355,-121.2558333,3.72
38.7771667,-123.158,3.13
40.3523333,-124.7748333,4.04
40.2905,-124.3951667,3.85
34.058,-117.0008333,3.1
33.1341667,-115.8621667,3.61
40.3295,-124.6771667,3.12
36.812,-121.544,3.39
36.959,-121.5756667,3.6
34.3993333,-120.1623333,3.28
36.6251667,-120.9921667,3.3
38.7958333,-122.7353333,4.16
35.203,-117.2808333,3.39
41.4976,-116.122,3
38.5591667,-122.2873333,3.24
34.1305,-117.046,3.44
38.8036667,-122.7911667,3.24
38.5613333,-122.2833333,3
38.5621667,-122.2853333,3.01
32.3621667,-115.3755,3.29
40.2385,-123.6468333,3.68
36.7593333,-121.3531667,3.28
38.7935,-122.7561667,3.89
33.0018333,-118.8998333,3.57
36.5886667,-121.1448333,3.5
40.3615,-124.5476667,3.05
38.4063,-118.9266,3.7
37.4795,-118.7841667,3.44
35.728,-121.0905,3.09
38.4251,-118.897,3.6
40.3061667,-124.069,3.12
38.388,-118.8962,3
38.4191,-118.8993,3
38.3316,-118.887,3
38.4232,-118.9005,3
32.4018333,-115.2538333,3.33
32.3835,-115.2711667,3.22
38.4218,-118.8978,3.2
33.0683333,-116.0645,3.03
38.3889,-118.9285,3.6
38.7012,-118.4766,3.8
38.389,-118.9152,3
32.9776667,-115.5455,3.13
32.9788333,-115.546,3.11
32.9748333,-115.5388333,3.63
32.975,-115.5458333,3.88
32.9776667,-115.5451667,3.49
32.9745,-115.5483333,3.74
38.3583,-118.9031,3.4
32.9726667,-115.5346667,3.29
32.9791667,-115.5478333,3.28
38.3654,-118.8986,3
38.3993,-118.9119,3.7
34.1513333,-116.7071667,3.92
38.3438,-118.8833,3.7
38.2987,-118.8221,3.5
38.4087,-118.9123,3.5
38.4091,-118.9101,3.9
38.3666,-118.9064,3
38.3411,-118.9191,3.1
38.3956,-118.9037,3
38.3855,-118.8948,3
38.3496,-118.8905,3.1
38.4095,-118.9269,3
38.3439,-118.9127,3
38.3777,-118.8957,5.5
38.3685,-118.8971,3.2
38.3619,-118.9092,3.8
38.3905,-118.8923,3.5
38.3716,-118.9409,3.7
38.405,-118.9131,3.2
38.3897,-118.8929,3.8
38.3904,-118.8972,5.6
38.3755,-118.8989,5.6
33.9705,-118.9086667,3.29
34.3835,-119.7548333,3.12
32.5236667,-115.6315,3.05
33.2233333,-116.0878333,3.15
41.1964,-114.9249,3.2
32.83,-116.1285,3.5
38.6386667,-121.8718333,3.03
38.8221667,-122.8413333,5.01
35.5606667,-120.805,3.95
37.6381667,-118.9251667,3.99
38.6579,-118.7898,3.3
40.2785,-124.386,4.35
39.3303333,-122.7966667,3.06
39.3753,-115.4403,3.2
39.0501,-118.8113,3.9
32.7656667,-115.4373333,3.07
32.748,-115.4236667,3.35
34.3275,-119.5,3.3
40.5081667,-124.2121667,3.11
38.7506667,-122.6978333,3.33
36.4631667,-121.007,3.6
39.6598333,-123.6373333,4.06
39.6621667,-123.6311667,3.82
33.1845,-115.5683333,3.02
33.1851667,-115.565,3.05
36.2493333,-120.8175,3.18
33.1886667,-115.563,3.01
33.1875,-115.5675,3.45
33.1866667,-115.5646667,3.04
33.1875,-115.5691667,3.08
33.1863333,-115.567,3.37
38.7916667,-122.7613333,3.23
40.3461667,-124.5465,4.11
39.3298,-118.4506,3.1
33.2488333,-116.4145,3.31
38.825,-122.8021667,3.29
36.713,-121.3113333,3.55
32.2971667,-115.3453333,3.14
34.0075,-117.2521667,3.74
34.6881667,-120.2763333,3.4
37.5398333,-118.8291667,3.16
33.1601667,-115.6421667,3.02
33.1595,-115.6416667,3.4
35.9045,-120.4508333,3.02
33.1405,-115.616,3.21
36.2435,-120.36,3.52
33.2873333,-115.7248333,3.21
35.8976667,-117.684,3.04
37.3363333,-121.6953333,3.25
37.5533333,-118.832,3.07
33.2973333,-115.7166667,3.27
33.2988333,-115.7053333,3.49
33.2986667,-115.7118333,3.64
33.2906667,-115.711,3.18
33.308,-115.6973333,3.46
33.3091667,-115.6933333,3.39
33.3058333,-115.701,4.13
33.2905,-115.7118333,3.27
33.3026667,-115.6945,3.11
33.2998333,-115.7123333,4.33
33.2971667,-115.716,3.33
33.2951667,-115.7065,3.03
33.2958333,-115.7056667,3.2
33.2958333,-115.7153333,3.18
33.2925,-115.7216667,3.08
33.2976667,-115.7136667,4.32
33.2921667,-115.7136667,3.26
38.3765,-118.3208,3.2
35.898,-117.6831667,3.37
33.991,-116.3896667,3.43
33.914,-118.2976667,3.03
37.5951667,-119.363,3.12
37.6316667,-119.4205,3.26
36.0536667,-120.0905,3.19
40.3791667,-124.9655,3
40.1229,-119.6472,3
37.8046667,-122.1975,3.54
41.8268333,-124.3836667,3.25
41.9483,-119.6714,3
37.6231667,-118.895,3.29
37.0877,-115.2713,3.1
36.398,-117.8681667,3.47
34.0831667,-116.7145,3.12
33.267,-116.1146667,3.13
34.4195,-116.5495,3.43
40.4365,-123.4078333,4.49
37.6231667,-118.8928333,3.53
33.1588333,-115.6375,3.13
35.9896667,-117.9213333,3.08
36.3993333,-117.8653333,3.54
36.6943333,-121.3271667,3.19
36.6945,-121.3365,3.07
37.9938,-118.0806,3
33.9803333,-116.7178333,3.32
36.7015,-121.338,3.62
37.4836667,-118.7821667,3.07
37.4846667,-118.7798333,3.44
37.4823333,-118.7795,3.31
37.4808333,-118.7821667,3.49
37.479,-118.7826667,3.03
36.5765,-121.1765,3.41
39.9603333,-122.7846667,3.84
39.3293333,-122.8018333,5.09
36.2965,-120.7951667,3.34
33.1676667,-116.4206667,3.39
34.5356667,-119.9645,3.05
40.1516667,-120.2126667,3.31
40.1506667,-120.2153333,3.99
40.1538333,-120.2131667,4.48
40.1411667,-120.2295,3.74
38.4408333,-122.5056667,3.16
39.4347,-119.7375,3.1
32.9583333,-115.7605,4.03
33.196,-116.6825,3.19
38.7451667,-122.7158333,3.37
35.6823333,-121.1245,3.22
37.4223333,-118.3281667,3.21
40.7243333,-123.8918333,4.73
36.697,-121.3413333,3.93
36.6925,-121.3296667,4.22
37.028,-121.202,3.07
37.0295,-121.1981667,3.68
36.6855,-121.333,3.28
36.6971667,-121.331,3.34
36.6898333,-121.3251667,3.84
36.6908333,-121.3201667,3.12
37.4545,-118.8378333,3.09
34.5715,-120.052,3.15
35.1663333,-119.3371667,3.02
35.6116667,-116.2986667,3
38.6516,-118.7943,4.5
38.6539,-118.7984,4.3
32.909,-115.5313333,3.76
40.388,-125.0601667,3.69
36.6343333,-121.256,3.01
32.9735,-115.5718333,3.89
38.8188333,-122.7578333,3.34
34.3051667,-116.9191667,3.08
34.2021667,-116.8313333,3.07
34.0723333,-116.3785,3.53
38.7212,-117.8439,3.5
32.9656667,-115.5698333,3.02
32.9675,-115.568,3.48
36.213,-120.777,3.04
33.4598333,-116.4883333,3.04
38.8253333,-122.7983333,3.31
33.4593333,-116.4243333,3.46
33.4578333,-116.4643333,3.1
33.4323333,-116.4538333,3.17
33.4436667,-116.466,3.19
33.4493333,-116.4505,3.2
33.4425,-116.405,3.75
33.4315,-116.4426667,5.19
37.293,-115.2149,3.3
37.2076667,-122.1655,3.35
39.586,-115.8399,3
39.5911,-115.8389,3.9
34.1796667,-117.2931667,3.14
34.7178333,-116.0353333,3.24
34.717,-116.0331667,3.31
41.8765,-119.6301,3.8
38.8068333,-122.819,3.17
35.436,-121.0361667,3.08
34.1716667,-117.6311667,3.45
38.2546,-114.6231,3.1
35.9686667,-120.5261667,3.5
41.8977,-119.6286,3.5
38.8173333,-122.766,3
40.6509,-119.4554,3
40.6519,-119.4521,3.9
36.3768333,-117.4655,3.49
38.8158333,-122.8206667,3.83
40.7593,-119.2499,3.6
36.5097,-114.019,3.4
40.6364,-119.4359,3
40.6519,-119.5093,3.5
36.462,-114.0263,3.8
36.8393333,-121.57,3.03
40.364,-124.4521667,3.16
32.3876667,-115.2651667,3.02
40.622,-119.4942,3.1
41.8819,-119.6173,3.1
37.9328333,-123.0533333,3.01
32.8245,-115.5961667,3.39
40.8566667,-124.8213333,3.1
35.7288333,-121.346,3.07
37.0793333,-117.8941667,3.03
36.4909,-113.9954,3.8
34.3641667,-118.6446667,3.08
37.4996667,-113.9381667,3.43
41.8479,-119.6132,3.2
36.0733333,-117.6596667,3.11
41.7268,-119.589,3.3
38.8263333,-122.8495,3.77
33.1918333,-118.031,3.16
34.6745,-117.4805,3.21
34.0788333,-119.2903333,3.51
34.3636667,-118.6493333,3.13
38.4736,-118.3807,3.1
38.4705,-118.3779,3.2
36.7928333,-120.9848333,3.47
37.346,-121.695,3.05
33.6765,-118.0535,3.19
32.5783333,-115.6795,3.19
41.9048,-119.6056,3.5
38.481,-118.3622,3.4
38.6555,-118.7841,4.1
38.4742,-118.3745,3
38.4741,-118.363,3.4
38.479,-118.3746,3.3
38.4792,-118.3662,4.3
38.8383333,-122.7648333,3.05
38.8485,-122.758,3.73
35.3325,-118.5521667,3.11
40.4631667,-124.4898333,3.3
34.5216667,-119.0748333,4.13
34.521,-119.075,3.31
41.8535,-119.6246,3.5
41.0107,-116.4052,3.2
39.5593,-115.739,3.4
32.6951667,-115.7445,3.03
37.162,-118.3658333,3.44
41.8853,-119.5955,3.4
35.5423333,-119.3728333,4.87
41.8611,-119.6302,3
34.6943333,-116.2428333,4.1
34.6946667,-116.2368333,3.48
41.8709,-119.6366,3.2
36.2341667,-117.517,3.23
41.9141,-119.6059,3.1
34.6098333,-116.6288333,4.31
35.543,-120.791,3.28
37.4798,-117.5416,3
37.2023333,-118.3998333,4.31
37.2023333,-118.4035,4.77
34.3026667,-116.8633333,3.87
37.5758333,-118.8563333,3.44
37.5713333,-118.8573333,3.74
33.8916667,-117.1176667,3.43
41.8839,-119.591,3.2
35.7323333,-119.6771667,3.11
35.4643333,-119.9733333,3.54
35.4606667,-119.9756667,3.51
40.7206667,-121.5238333,3.08
40.7196667,-121.5226667,3.43
32.3935,-115.2226667,3.3
34.6971667,-116.2391667,4.11
35.7096667,-121.0536667,3.1
34.6913333,-116.2366667,3.16
34.692,-116.2368333,3.65
36.542,-117.9675,3.47
37.5121667,-113.9216667,4.28
38.8233333,-122.854,3.42
35.405,-117.8101667,3.34
35.4056667,-117.8098333,3.61
36.3481667,-121.8453333,3.24
38.6477,-118.8034,3.3
37.5056667,-113.9391667,3.32
36.8496667,-121.5826667,3.12
33.6605,-116.7736667,3.3
40.278,-124.324,3.66
40.2731667,-124.3395,4.31
33.9585,-116.8883333,4.39
41.8634,-119.6174,3.1
41.8525,-119.6092,3.1
41.8586,-119.6073,3.1
41.8685,-119.6,4.1
40.3083333,-124.6871667,4.44
34.188,-117.41,3.02
34.1876667,-117.408,3.77
34.191,-117.4131667,4.4
36.1461667,-117.9816667,3
41.8772,-119.6096,3.5
41.8763,-119.6054,3.4
41.8743,-119.6072,3.5
41.872,-119.6075,3.3
41.4562,-118.905,4.1
41.4572,-118.9286,3.5
35.2143333,-117.2815,4.25
41.891,-119.6116,3.3
35.2115,-117.28,3.78
35.2121667,-117.2808333,3.74
41.8816,-119.6241,3
41.9017,-119.6105,3
41.8723,-119.602,3.9
41.8735,-119.6049,3.4
41.8854,-119.6021,3.2
41.8807,-119.5937,4.4
37.411,-118.5123333,3.72
39.4362,-119.7835,3.1
39.4309,-119.7845,4.4
39.4308,-119.7844,3.5
39.4282,-119.7812,3
39.4332,-119.7886,3.2
41.8745,-119.596,3.5
33.6255,-117.9023333,3.36
37.2388,-115.0503,3
37.3355,-118.7413333,3.28
33.8371667,-117.0478333,3.05
33.2561667,-115.7183333,3.6
40.3519,-116.0689,3.4
40.3692,-116.1027,3.2
32.3931667,-115.2293333,3.33
36.239,-120.8063333,3.01
32.3078333,-115.4005,3.05
37.1992,-115.8839,3.1
34.3206667,-116.8531667,3.01
34.0721667,-116.671,3.32
41.8575,-119.6317,4.1
41.8503,-119.6284,3.2
39.5161667,-123.6185,3.04
38.6147,-119.4009,3.3
33.0265,-116.4338333,3.29
33.792,-116.1033333,3.01
41.8532,-119.6378,3.1
41.8564,-119.6304,3
41.8651,-119.6165,3.4
41.8702,-119.6115,3
41.8739,-119.6195,3.4
41.8731,-119.6231,4
41.8696,-119.619,4.2
41.3381667,-124.5213333,3.14
34.175,-117.435,3.39
36.776,-121.2906667,3.51
36.5468333,-121.0326667,3.04
38.9495,-118.1443,3.2
34.3421667,-118.4661667,3.48
37.7781667,-121.9638333,3.1
41.8518,-119.6279,3.3
41.8587,-119.6328,3.6
37.9273,-118.1683,3.5
39.6036667,-121.935,3.53
41.8376,-119.6454,3
41.9025,-119.6002,3.9
35.8323333,-120.6058333,3.2
40.803,-123.9718333,3.07
32.9546667,-115.7371667,3.08
39.0892,-119.6352,3
37.7775,-121.9635,3.13
32.4083333,-115.464,3.17
34.0611667,-118.7633333,3.39
37.7831667,-121.9691667,3.02
37.781,-121.9668333,3.21
37.7825,-121.9655,3.23
37.7918333,-121.9635,3.6
37.7898333,-121.9643333,3.26
38.8076667,-122.8156667,3.3
34.1191667,-116.9125,3.31
33.2711667,-116.7896667,3.19
37.7861667,-121.9643333,3.36
34.197,-116.9068333,3.47
37.7853333,-121.9636667,3.08
41.8508,-119.6334,3
32.3435,-115.255,3.37
41.8655,-119.6136,3
41.8654,-119.599,3.3
38.6575,-118.8051,3
41.8687,-119.5953,3
41.8542,-119.6368,4.2
39.4435,-122.9865,3.91
41.8564,-119.6267,3
39.645,-119.1478,3
41.8709,-119.6123,4.2
41.8636,-119.6007,3.1
41.8542,-119.6043,3.3
38.6512,-118.7989,3
40.4266667,-123.3941667,3
41.8623,-119.6359,3.1
41.8648,-119.6279,3.4
38.4719,-118.3649,3.6
41.858,-119.6452,3.1
34.1371667,-116.858,4
32.9313333,-115.5413333,3.28
38.809,-122.8128333,3
41.8468,-119.6435,3.05
41.8594,-119.6271,4.7
37.5975,-118.7878333,3.22
39.8076667,-122.7425,3.07
38.6502,-118.7997,3.07
41.9868333,-120.1623333,3.52
38.6521,-118.8004,3.4
38.6514,-118.8018,3.46
38.6488,-118.8064,4.4
41.8463,-119.6317,3.32
41.8532,-119.6307,3.22
41.8624,-119.6267,3.33
41.8712,-119.6053,3.15
41.8615,-119.6253,3.3
39.4791667,-123.5883333,3.04
39.481,-123.5968333,3.56
38.7843333,-122.7436667,3.83
37.5975,-118.7878333,3.71
41.8493,-119.6263,3.32
37.8366667,-122.2321667,4.01
41.9156,-119.6214,3.3
41.8841,-119.6241,3.49
41.8713,-119.6179,3.44
41.8856,-119.622,4.15
41.8792,-119.6151,3.16
40.1305,-119.1781,3.54
37.7861667,-122.5913333,3.12
41.8781,-119.6469,3.08
34.4565,-116.461,3.21
36.5578333,-120.6085,3.01
41.8891,-119.6378,3.09
41.9052,-119.6351,3.82
41.8295,-119.6049,3.09
37.3136667,-121.6735,3.22
38.9111667,-123.6168333,3.45
41.8995,-119.6273,3.01
41.8799,-119.618,3.58
41.8883,-119.621,3.08
41.8875,-119.6226,4.55
34.092,-117.445,3.81
41.8878,-119.6288,3.96
41.8862,-119.6335,3.29
38.8175,-122.76,3.05
37.5776667,-121.974,3.98
41.8627,-119.6424,3.38
41.8508,-119.6404,3.39
